HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
86,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Remove the seal from the outside of the door to restore its functionality as an emergency exit.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,Done,
87,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,"Install a self-closing mechanism to ensure the door closes automatically after being opened, as required by NFPA standards.",Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
88,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,"Clean and repair the door to address rust, dents, and dust, ensuring its structural integrity and proper maintenance.",Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
89,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Ensure the area around the door is kept clear by relocating the mixing dough trolleys to maintain an unobstructed evacuation path.,Medium,PRD,Hammad Ali Khan,Immediate,Done,
90,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Install the required signage at the gate, including identification signs, safety warnings, and other relevant information, to ensure clear visibility and compliance with safety regulations.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
91,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Immediately replace the missing bolts and ensure the street light pipe is securely fastened with all required bolts to prevent accidents, ensure public safety, and maintain the structural integrity of the lighting system.",Medium,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
92,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Repair the electrical connection by installing a proper wire switch and ensuring all connections are secure, insulated, and meet electrical safety standards to prevent potential hazards",High,ESD,Adeel Siddiqui  ,Q2 2025,Done,
93,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,Immediately install a replacement cover on the electrical panel to protect the live electrical wires and prevent potential electrical hazards. Ensure all electrical panels are properly secured and maintained to guarantee a safe working environment.,High,ESD,Adeel Siddiqui  ,Q2 2025,Done,
94,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Conduct thorough housekeeping to immediately clean up the sawdust, and implement regular cleaning schedules to prevent accumulation. Utilize proper ventilation and personal protective equipment (PPE) such as masks to minimize exposure and prevent respiratory issues. Consider installing dust collection systems or extraction units to reduce airborne sawdust.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
95,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Ensure that operators wear proper Personal Protective Equipment (PPE), including gloves, safety glasses, and protective clothing, when using the electrical grinder to minimize the risk of injury from sharp edges. Consider modifying or smoothing the edges if possible, and conduct regular inspections to maintain equipment safety.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
96,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Install exhaust fans or other ventilation systems, such as roof vents or air circulation systems, to improve airflow and reduce heat buildup in the admin Workshop. Consider additional measures such as:
- Insulating the roof to reduce heat gain.
- Installing shading devices, like awnings or shades, to block direct sunlight
- Conducting regular maintenance to ensure optimal performance of ventilation systems
This will help create a safer, healthier, and more productive working environment for employees.",Medium,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
97,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Immediately inspect and reinforce the welding joint to ensure it can securely hold the weight and vibration of the fan. Consider:
- Re-welding the joint with proper technique and materials.
- Replacing the metal rod or fan mounting system with a more robust design.
- Regularly inspecting and maintaining the fan and its suspension system to prevent accidents.",High,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
98,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Immediately replace the wire suspensions with proper mounting fixtures, such as brackets or clips, specifically designed for tube lights. Ensure:
- Secure and stable installation to prevent lights from falling.
- Compliance with electrical safety standards and regulations.
- Regular inspections and maintenance to guarantee the integrity of lighting installations.",Medium,ESD,Adeel Siddiqui  ,Q2 2025,Done,
99,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Organize and store materials in designated areas, ensuring clear and safe pathways throughout the workshop. Implement proper storage solutions, to:
- Prevent materials from obstructing walkways.
- Reduce the risk of injuries from sharp edges.
- Improve overall workshop organization and efficiency.
- Conduct regular housekeeping and inspections to maintain a safe working environment.",Medium,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
100,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Immediate repairs or replacement of the roof is necessary to ensure a safe working environment. A thorough structural assessment should be conducted to determine the extent of the damage, and rusted sections or the entire roof structure should be replaced if necessary. This will help prevent accidents, ensure business continuity, and provide a safe working environment for employees.",Medium,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
101,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Apply plaster to all walls to create a smooth surface, eliminating hazards and improving the workshop's appearance and durability. Regular maintenance and inspections should follow to ensure the plaster remains in good condition.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
102,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Consider replacing the metal roof with a more suitable material or applying a reflective coating to reduce heat absorption. Regular maintenance and inspections should be conducted to address the rust issue and prevent further deterioration. Additionally, providing shading, ventilation, or cooling systems can help mitigate the heat inside the workshop.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
103,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Level and repair the floor to create a smooth, even surface. Regular inspections should be conducted to identify and address any potential hazards, ensuring a safe working environment for all workers.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
104,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,Replace all unsafe connections with industrial-grade receptacles. Get the system checked by a certified electrician and train workers on electrical safety.,Medium,ADM IR & HR,Shahid Bashir,Q2 2025,Done,
105,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Ensure proper insulation and electrical protection for both machines by:
- Inspecting and repairing or replacing damaged or worn-out insulation
- Installing protective covers or guards to prevent accidental contact with electrical components
- Regularly maintaining and testing equipment to prevent electrical hazards
- Providing training to operators on electrical safety and proper equipment usage.",High,ESD,Adeel Siddiqui  ,Q2 2025,Pending,
106,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Adjust or replace the safety cover to ensure a proper fit, and:
- Regularly inspect and maintain the cover to prevent damage or wear
- Provide training to operators on the importance of safety covers and proper machine usage.
",Medium,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
107,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Regularly inspect the electrical board and its components to ensure they remain in good working condition, and consider implementing a maintenance schedule to prevent potential electrical hazards.",Medium,ESD,Adeel Siddiqui  ,Q2 2025,WIP,
108,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Organize the scrap materials by:
- Designating specific storage areas
- Implementing proper labeling and signage
- Creating clear pathways for safe movement
- Disposing of unnecessary scrap materials
- Providing training on proper storage and housekeeping practices to prevent accidents and injuries.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
109,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Clear the walkways by:
- Storing pallets and wood materials in designated areas.
- Organizing materials to prevent overcrowding.
- Implementing housekeeping practices to maintain clear and safe walkways.
- Ensuring proper signage and warnings in areas where materials are stored.",Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
110,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"The damaged fan blade should be replaced or repaired to ensure balanced operation and safe, efficient airflow. Regular maintenance and inspection of fans should also be conducted to prevent similar issues in the future.",Medium,ESD,Adeel Siddiqui  ,Q2 2025,Done,
111,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Install a dedicated cabinet for storing PPEs to ensure easy access, organization, and protection. This will help maintain compliance with safety regulations and encourage workers to use PPEs consistently. The cabinet should be conveniently located and well-maintained to support a safe working environment.",Low,HSE,Naveed Taqvi,Q2 2025,Done,
112,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,"Ensure mandatory PPE usage for all high-risk tasks. Display PPE rules, conduct training, and assign supervisors to strictly monitor compliance.",High,HSE,Naveed Taqvi,Q2 2025,Done,
113,05/05/2025,May,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Admin WorkShop,Admin WorkShop,Display clear and relevant SOPs at all workstations. Provide copies to supervisors and conduct regular safety briefings to reinforce procedures.,Low,ADM IR & HR,Shahid Bashir,Q2 2025,Pending,
114,14/04/2025,April,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Line 11 Cutting And Mixing Area,Line 11 Cutting And Mixing Area,Install a safety cover to cover the exposed area of the dough hopper. ,High,ESD,Adeel Siddiqui  ,To be Decided,WIP,
115,14/04/2025,April,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Line 11 Cutting And Mixing Area,Line 11 Cutting And Mixing Area,Ensure that all covers are securely fastened to prevent accidental removal or dislodging during operation. ,Medium,ESD,Hammad Ali Khan,To be Decided,WIP,
116,14/04/2025,April,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Line 11 Cutting And Mixing Area,Line 11 Cutting And Mixing Area,Train operators and maintenance personal on the importance of keeping safety covers in place and immediately reporting any damage or missing components.,Low,PRD,Hammad Ali Khan,To be Decided,Done,
117,14/04/2025,April,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Line 11 Cutting And Mixing Area,Line 11 Cutting And Mixing Area,Install a pneumatic jack cover to ensure that the pneumatic components are properly enclosed. ,High,PRD,Hammad Ali Khan,To be Decided,Done,
118,14/04/2025,April,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Line 11 Cutting And Mixing Area,Line 11 Cutting And Mixing Area,"Implement regular check to ensure all covers , safety guards, and protective components are in place and in good condition.",Low,ESD,Adeel Siddiqui  ,To be Decided,Done,
119,14/04/2025,April,Abdullah Ilyas,Critical / Specialist Audit Plan,Inspection Of Line 11 Cutting And Mixing Area,Line 11 Cutting And Mixing Area,"Immediately repair the non-functional emergency stop button to ensure it works correctly and stop the dough hopper instantly when activated.
",High,ESD,Adeel Siddiqui  ,To be Decided,Done,
